#,Referencia,Codigo,Marca,Categoria,Material,Precio Unitario Pza,Precio Docena (x12),Stock Actual (Pzas),Tipo Venta BD
281,"DAVISTA251011C3","DAVISTA251011C3","DAVISTA","AROS OPTICOS","","$2.75","$33.00",1,"DOCENA"
282,"DD68003C7-1","DD68003C7-1","FIRENCE","AROS OPTICOS","","$4.50","$54.00",2,"DOCENA"
283,"DD68005C2-1","DD68005C2-1","FIRENCE","AROS OPTICOS","","$4.50","$54.00",1,"DOCENA"
284,"DD68005C4-1","DD68005C4-1","FIRENCE","AROS OPTICOS","","$4.50","$54.00",1,"DOCENA"
285,"DD68005C6","DD68005C6","N/A","N/A","Acetato / Metal","$4.90","$58.80",13,"DOCENA"
286,"DD79001C6","DD79001C6","N/A","N/A","Acetato / Metal","$4.90","$58.80",1,"DOCENA"
287,"DD79008C4","DD79008C4","N/A","N/A","Acetato / Metal","$4.90","$58.80",1,"DOCENA"
288,"DONATTO240803C1","DONATTO240803C1","N/A","N/A","Acetato / Metal","$2.00","$24.00",5,"DOCENA"
289,"DONATTO240811C1","DONATTO240811C1","N/A","N/A","Acetato / Metal","$2.00","$24.00",6,"DOCENA"
290,"DONATTO240820C3","DONATTO240820C3","N/A","N/A","Acetato / Metal","$2.00","$24.00",2,"DOCENA"
291,"DONATTO240822C1","DONATTO240822C1","N/A","N/A","Acetato / Metal","$2.00","$24.00",5,"DOCENA"
292,"DREAMY211003","DREAMY211003","DREAMY","AROS OPTICOS","Acetato","$5.33","$63.96",45,"DOCENA"
293,"ELITEVIEW251001C1","ELITEVIEW251001C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",240,"DOCENA"
294,"ELITEVIEW251002C1","ELITEVIEW251002C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",252,"DOCENA"
295,"ELITEVIEW251003C1","ELITEVIEW251003C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",255,"DOCENA"
296,"ELITEVIEW251004C1","ELITEVIEW251004C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",277,"DOCENA"
297,"ELITEVIEW251005C1","ELITEVIEW251005C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",266,"DOCENA"
298,"ELITEVIEW251006C1","ELITEVIEW251006C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",264,"DOCENA"
299,"ELITEVIEW251007C1","ELITEVIEW251007C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",289,"DOCENA"
300,"ELITEVIEW251008C1","ELITEVIEW251008C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",276,"DOCENA"
301,"ELITEVIEW251009C1","ELITEVIEW251009C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",274,"DOCENA"
302,"ELITEVIEW251010C1","ELITEVIEW251010C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",259,"DOCENA"
303,"ELITEVIEW251011C1","ELITEVIEW251011C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",290,"DOCENA"
304,"ELITEVIEW251012C1","ELITEVIEW251012C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",289,"DOCENA"
305,"ELITEVIEW251013C1","ELITEVIEW251013C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",292,"DOCENA"
306,"ELITEVIEW251014C1","ELITEVIEW251014C1","ELITE VIEW","AROS OPTICOS","","$4.30","$51.60",290,"DOCENA"
307,"ET3BLACK","ET3BLACK","SIN MARCA","AROS OPTICOS","","$0.62","$7.44",3174,"DOCENA"
308,"ET3C1N","ET3C1N","SM","AROS OPTICOS","Sintético","$0.62","$7.44",929,"DOCENA"
309,"ET3C4N","ET3C4N","SM","AROS OPTICOS","Sintético","$0.62","$7.44",908,"DOCENA"
310,"ET3DGREY","ET3DGREY","SIN MARCA","AROS OPTICOS","","$0.62","$7.44",3188,"DOCENA"
311,"ET3LAZER1","ET3LAZER1","SM","ESTUCHE","Sintético","$0.65","$7.80",533,"DOCENA"
312,"ET3LAZER10","ET3LAZER10","SM","ESTUCHE","Sintético","$0.65","$7.80",720,"DOCENA"
313,"ET3LAZER18","ET3LAZER18","SM","ESTUCHE","Sintético","$0.65","$7.80",764,"DOCENA"
314,"ET3LAZER21","ET3LAZER21","SM","ESTUCHE","Sintético","$0.65","$7.80",540,"DOCENA"
315,"ET3LAZER24","ET3LAZER24","SM","ESTUCHE","Sintético","$0.65","$7.80",689,"DOCENA"
316,"ET3LAZER3","ET3LAZER3","SM","ESTUCHE","Sintético","$0.65","$7.80",956,"DOCENA"
317,"ET3LAZER31","ET3LAZER31","SM","ESTUCHE","Sintético","$0.65","$7.80",965,"DOCENA"
318,"ET3LAZER34","ET3LAZER34","SM","ESTUCHE","Sintético","$0.65","$7.80",1038,"DOCENA"
319,"ET3LAZER38","ET3LAZER38","SM","ESTUCHE","Sintético","$0.65","$7.80",1080,"DOCENA"
320,"ET3LAZER6","ET3LAZER6","SM","ESTUCHE","Sintético","$0.65","$7.80",423,"DOCENA"
321,"F2243C4","F2243C4","FELINE","AROS OPTICOS","","$3.00","$36.00",40,"DOCENA"
322,"F2243C5","F2243C5","FELINE","AROS OPTICOS","","$3.00","$36.00",38,"DOCENA"
323,"F2243C6","F2243C6","FELINE","AROS OPTICOS","","$3.00","$36.00",36,"DOCENA"
324,"F8355C3","F8355C3","N/A","N/A","Acetato / Metal","$3.00","$36.00",5,"DOCENA"
325,"F8379C2","F8379C2","FELINE","AROS OPTICOS","","$3.00","$36.00",6,"DOCENA"
326,"F90012C3","F90012C3","N/A","N/A","Acetato / Metal","$3.70","$44.40",4,"DOCENA"
327,"F90015C1","F90015C1","N/A","N/A","Acetato / Metal","$3.70","$44.40",9,"DOCENA"
328,"F90015C2","F90015C2","N/A","N/A","Acetato / Metal","$3.70","$44.40",6,"DOCENA"
329,"F93082C10","F93082C10","WEEKEND","AROS OPTICOS","","$5.60","$67.20",1,"DOCENA"
330,"F97011C6","F97011C6","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
331,"F97012C4","F97012C4","WEEKEND","AROS OPTICOS","","$5.60","$67.20",1,"DOCENA"
332,"F97015C2","F97015C2","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
333,"F97015C3","F97015C3","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
334,"F97015C4","F97015C4","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
335,"F97019C6","F97019C6","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
336,"F97020C1","F97020C1","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
337,"F97020C2","F97020C2","WEEKEND","AROS OPTICOS","","$5.10","$61.20",1,"DOCENA"
338,"FACIALE240315C3","FACIALE240315C3","N/A","N/A","Acetato / Metal","$2.42","$29.04",3,"DOCENA"
339,"FISHLINE","FISHLINE","SM","AROS OPTICOS","Nylon","$1.20","$14.40",31,"DOCENA"
340,"G8116C2","G8116C2","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
341,"G8116C3","G8116C3","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
342,"G8116C4","G8116C4","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
343,"G8116C5","G8116C5","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
344,"G8149C1","G8149C1","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",7,"DOCENA"
345,"G8149C2","G8149C2","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
346,"G8149C4","G8149C4","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
347,"G8149C5","G8149C5","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
348,"G8215C1","G8215C1","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",8,"DOCENA"
349,"G8215C2","G8215C2","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
350,"G8215C3","G8215C3","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
351,"G8215C4","G8215C4","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
352,"G8215C5","G8215C5","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
353,"G8246C1","G8246C1","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",7,"DOCENA"
354,"G8246C2","G8246C2","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
355,"G8246C4","G8246C4","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
356,"G8246C5","G8246C5","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
357,"G8248C1","G8248C1","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",8,"DOCENA"
358,"G8248C2","G8248C2","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
359,"G8248C3","G8248C3","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
360,"G8248C4","G8248C4","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
361,"G8248C5","G8248C5","SIN MARCA","AROS OPTICOS","","$9.80","$117.60",1,"DOCENA"
362,"GALLARDO251001C1","GALLARDO251001C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",239,"DOCENA"
363,"GALLARDO251002C1","GALLARDO251002C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",245,"DOCENA"
364,"GALLARDO251003C1","GALLARDO251003C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",251,"DOCENA"
365,"GALLARDO251004C1","GALLARDO251004C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",226,"DOCENA"
366,"GALLARDO251007C1","GALLARDO251007C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",285,"DOCENA"
367,"GALLARDO251008C1","GALLARDO251008C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",286,"DOCENA"
368,"GALLARDO251009C1","GALLARDO251009C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",280,"DOCENA"
369,"GALLARDO251010C1","GALLARDO251010C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",283,"DOCENA"
370,"GALLARDO251011C1","GALLARDO251011C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",285,"DOCENA"
371,"GALLARDO251012C1","GALLARDO251012C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",279,"DOCENA"
372,"GALLARDO251013C1","GALLARDO251013C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",300,"DOCENA"
373,"GALLARDO251014C1","GALLARDO251014C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",237,"DOCENA"
374,"GALLARDO251018C1","GALLARDO251018C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",279,"DOCENA"
375,"GALLARDO251019C1","GALLARDO251019C1","GALLARDO","AROS OPTICOS","","$4.08","$48.96",288,"DOCENA"
376,"GIORDANNI231105MPUR","GIORDANNI231105MPUR","N/A","N/A","Acetato / Metal","$2.60","$31.20",2,"DOCENA"
377,"GISALLY251001C1","GISALLY251001C1","GISALLY","AROS OPTICOS","","$2.65","$31.80",188,"DOCENA"
378,"GISALLY251001C2","GISALLY251001C2","GISALLY","AROS OPTICOS","","$2.65","$31.80",195,"DOCENA"
379,"GISALLY251001C3","GISALLY251001C3","GISALLY","AROS OPTICOS","","$2.65","$31.80",190,"DOCENA"
