#,Referencia,Codigo,Marca,Categoria,Material,Precio Unitario Pza,Precio Docena (x12),Stock Actual (Pzas),Tipo Venta BD
463,"LUTTI251015C1","LUTTI251015C1","LUTTI","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
464,"M3901C5","M3901C5","N/A","N/A","Acetato / Metal","$5.00","$60.00",7,"DOCENA"
465,"MBJ067-1","MBJ067-1","S-M","CORDONES","Acrílico","$1.83","$21.96",19,"DOCENA"
466,"MEGGAN251001C1","MEGGAN251001C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",1,"DOCENA"
467,"MEGGAN251002C1","MEGGAN251002C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",283,"DOCENA"
468,"MEGGAN251003C1","MEGGAN251003C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",300,"DOCENA"
469,"MEGGAN251004C1","MEGGAN251004C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",301,"DOCENA"
470,"MEGGAN251005C1","MEGGAN251005C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",267,"DOCENA"
471,"MEGGAN251006C1","MEGGAN251006C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",263,"DOCENA"
472,"MEGGAN251007C1","MEGGAN251007C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",261,"DOCENA"
473,"MEGGAN251008C1","MEGGAN251008C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",291,"DOCENA"
474,"MEGGAN251009C1","MEGGAN251009C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",297,"DOCENA"
475,"MEGGAN251010C1","MEGGAN251010C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",281,"DOCENA"
476,"MEGGAN251011C1","MEGGAN251011C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",276,"DOCENA"
477,"MEGGAN251013C1","MEGGAN251013C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",288,"DOCENA"
478,"MEGGAN251014C1","MEGGAN251014C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",296,"DOCENA"
479,"MEGGAN251015C1","MEGGAN251015C1","MEGGAN","AROS OPTICOS","","$5.00","$60.00",293,"DOCENA"
480,"MG6862C4","MG6862C4","N/A","N/A","Acetato / Metal","$8.50","$102.00",3,"DOCENA"
481,"MG6864C1","MG6864C1","N/A","N/A","Acetato / Metal","$8.50","$102.00",1,"DOCENA"
482,"MG6865C1","MG6865C1","ELITE VIEW","AROS OPTICOS","","$8.50","$102.00",3,"DOCENA"
483,"MIRRORWHITE","MIRRORWHITE","SIN MARCA","AROS OPTICOS","","$13.50","$162.00",10,"DOCENA"
484,"MN8092C1","MN8092C1","N/A","N/A","Acetato / Metal","$2.50","$30.00",4,"DOCENA"
485,"NA290411","NA290411","NATURAL","AROS OPTICOS","Plástico","$0.83","$9.96",10,"DOCENA"
486,"NEWWAY220704","NEWWAY220704","NEW  WAY","AROS OPTICOS","Pasta","$2.75","$33.00",105,"DOCENA"
487,"NEWWAY220710","NEWWAY220710","NEW  WAY","AROS OPTICOS","Pasta","$2.75","$33.00",137,"DOCENA"
488,"NEWWAY220712","NEWWAY220712","NEW  WAY","AROS OPTICOS","Pasta","$2.75","$33.00",224,"DOCENA"
489,"NEWWAY220713","NEWWAY220713","NEW  WAY","AROS OPTICOS","Pasta","$2.75","$33.00",250,"DOCENA"
490,"NEWWAY220714","NEWWAY220714","NEW  WAY","AROS OPTICOS","Pasta","$2.75","$33.00",2,"DOCENA"
491,"NOSEPADN","NOSEPADN","S-M","NARIGUERA","Plástico","$0.25","$3.00",1,"DOCENA"
492,"P1325C6","P1325C6","N/A","N/A","Acetato / Metal","$6.00","$72.00",4,"DOCENA"
493,"P23059C1","P23059C1","N/A","N/A","Acetato / Metal","$3.70","$44.40",1,"DOCENA"
494,"P80122C4","P80122C4","KIAMIL","AROS OPTICOS","","$2.40","$28.80",1,"DOCENA"
495,"P82230C1","P82230C1","N/A","N/A","Acetato / Metal","$2.40","$28.80",1,"DOCENA"
496,"P82255C1","P82255C1","KIAMIL","AROS OPTICOS","","$2.40","$28.80",1,"DOCENA"
497,"P82255C5","P82255C5","KIAMIL","AROS OPTICOS","","$2.40","$28.80",1,"DOCENA"
498,"PAPERBAGN","PAPERBAGN","SM","AROS OPTICOS","","$0.25","$3.00",5094,"DOCENA"
499,"PLASTICCASE1","PLASTICCASE1","SM","AROS OPTICOS","Plástico","$0.21","$2.52",156,"DOCENA"
500,"PLASTICCASE3","PLASTICCASE3","SM","AROS OPTICOS","Plástico","$0.21","$2.52",221,"DOCENA"
501,"PLASTICCASE4","PLASTICCASE4","SM","AROS OPTICOS","Plástico","$0.21","$2.52",188,"DOCENA"
502,"PRESTIGE211221","PRESTIGE211221","PRESTIGE","AROS OPTICOS","Pasta","$2.25","$27.00",289,"DOCENA"
503,"PRESTIGE211230","PRESTIGE211230","PRESTIGE","AROS OPTICOS","Pasta","$2.00","$24.00",101,"DOCENA"
504,"PRESTIGE211233","PRESTIGE211233","PRESTIGE","AROS OPTICOS","Pasta","$2.00","$24.00",91,"DOCENA"
505,"RDR7159FC1","RDR7159FC1","N/A","N/A","Acetato / Metal","$3.50","$42.00",1,"DOCENA"
506,"S11576C16","S11576C16","WEEKEND","AROS OPTICOS","","$5.60","$67.20",1,"DOCENA"
507,"S11576C6","S11576C6","WEEKEND","AROS OPTICOS","","$5.60","$67.20",1,"DOCENA"
508,"SAFTY072BLUE","SAFTY072BLUE","SM","AROS OPTICOS","","$3.50","$42.00",1,"DOCENA"
509,"SCREWDRIVER1","SCREWDRIVER1","SM","AROS OPTICOS","Metal","$8.00","$96.00",11,"DOCENA"
510,"SCREWDRIVER2","SCREWDRIVER2","SM","AROS OPTICOS","Metal","$5.50","$66.00",24,"DOCENA"
511,"SET8001","SET8001","SM","AROS OPTICOS","","$10.00","$120.00",31,"DOCENA"
512,"SET9802","SET9802","SM","AROS OPTICOS","","$10.00","$120.00",6,"DOCENA"
513,"SET9806","SET9806","SM","AROS OPTICOS","","$10.00","$120.00",29,"DOCENA"
514,"SET9809","SET9809","SM","AROS OPTICOS","","$10.00","$120.00",30,"DOCENA"
515,"SET9813","SET9813","SM","AROS OPTICOS","","$10.00","$120.00",32,"DOCENA"
516,"SMARTKIDS221004","SMARTKIDS221004","SMART  KIDS","AROS OPTICOS","TR90","$2.25","$27.00",172,"DOCENA"
517,"SOFTCASE3","SOFTCASE3","S-M","ESTUCHE","Sintético","$0.63","$7.56",1,"DOCENA"
518,"SOFTCASE5","SOFTCASE5","S-M","ESTUCHE","Sintético","$0.63","$7.56",20,"DOCENA"
519,"ST004BLACK","ST004BLACK","SM","AROS OPTICOS","Sintético","$0.62","$7.44",141,"DOCENA"
520,"ST005BLACK","ST005BLACK","SM","AROS OPTICOS","Sintético","$0.62","$7.44",672,"DOCENA"
521,"ST005BROWN","ST005BROWN","S-M","ESTUCHE","Sintético","$0.63","$7.56",762,"DOCENA"
522,"ST005COFFEE","ST005COFFEE","SIN MARCA","AROS OPTICOS","","$0.62","$7.44",1052,"DOCENA"
523,"ST011BLACK","ST011BLACK","SM","AROS OPTICOS","","$0.62","$7.44",534,"DOCENA"
524,"ST011BROWN","ST011BROWN","S-M","ESTUCHE","Sintético","$0.63","$7.56",1005,"DOCENA"
525,"ST011COFFEE","ST011COFFEE","SIN MARCA","AROS OPTICOS","","$0.62","$7.44",1187,"DOCENA"
526,"T2026SC1","T2026SC1","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",8,"DOCENA"
527,"T2026SC2","T2026SC2","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
528,"T2026SC3","T2026SC3","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
529,"T2026SC4","T2026SC4","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
530,"T2026SC5","T2026SC5","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
531,"T2031SC1","T2031SC1","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",8,"DOCENA"
532,"T2031SC2","T2031SC2","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
533,"T2031SC3","T2031SC3","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
534,"T2031SC4","T2031SC4","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
535,"T2031SC5","T2031SC5","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
536,"T2038SC1","T2038SC1","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",8,"DOCENA"
537,"T2038SC2","T2038SC2","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
